,Label
26948,3
25904,3
13994,1
11269,1
25810,3
7840,6
13954,1
31133,5
23663,4
4741,6
4553,6
1300,6
10774,1
32414,5
27193,3
34594,5
13239,1
19767,2
6954,6
14976,1
3647,6
2497,6
26392,3
17924,2
3948,6
9327,1
33295,5
30759,5
20885,2
1393,6
27166,3
33917,5
27715,3
30806,5
15591,1
22820,2
34905,5
31628,5
15873,1
17588,2
9184,1
19147,2
7168,6
29219,5
11915,1
25349,3
21024,2
22281,2
22464,2
9370,1
26044,3
5338,6
4407,6
18660,2
10627,1
10653,1
35974,5
14271,1
21430,2
10489,1
10834,1
11103,1
4965,6
19575,2
17573,2
14394,1
7506,6
16130,1
30350,5
35148,5
37277,5
33044,5
6619,6
1908,6
10649,1
5944,6
1218,6
25949,3
6341,6
34631,5
9552,1
36102,5
196,6
10815,1
4573,6
8477,6
35330,5
6896,6
30801,5
30909,5
10645,1
6192,6
26273,3
5921,6
37164,5
9737,1
17928,2
8424,6
15259,1
16223,1
33714,5
5243,6
20578,2
29635,5
12836,1
13279,1
26062,3
27472,3
1328,6
20938,2
11017,1
22899,2
30811,5
3434,6
33700,5
5110,6
13118,1
30749,5
18743,2
20358,2
4243,6
17513,2
590,6
28097,5
34825,5
31880,5
7721,6
5082,6
2325,6
14346,1
26347,3
22845,2
13125,1
24463,3
32948,5
30675,5
36554,5
10760,1
33669,5
29078,5
24624,3
35229,5
6015,6
20567,2
16260,1
1194,6
20291,2
36042,5
2218,6
12321,1
35958,5
33823,5
36111,5
29875,5
14009,1
9869,1
19667,2
28882,5
23602,4
6452,6
33357,5
26918,3
8594,6
30750,5
31433,5
3806,6
31475,5
9285,1
12188,1
21193,2
15229,1
6826,6
13586,1
23998,4
17651,2
29376,5
7359,6
8026,6
4706,6
19959,2
11064,1
4662,6
23038,2
9196,1
7449,6
16693,1
24032,4
32694,5
19555,2
9215,1
19979,2
1366,6
21901,2
718,6
5942,6
1098,6
25280,3
36927,5
35062,5
34674,5
8465,6
22983,2
33144,5
7919,6
2772,6
33250,5
14797,1
35749,5
20399,2
11928,1
32935,5
7131,6
5591,6
7005,6
17898,2
2783,6
29384,5
22574,2
17214,1
6211,6
15104,1
19925,2
11275,1
9443,1
29099,5
2403,6
26140,3
1242,6
17923,2
29649,5
16278,1
31644,5
20025,2
241,6
2145,6
2414,6
20717,2
19990,2
15184,1
820,6
22817,2
16909,1
14429,1
21324,2
36350,5
7308,6
19057,2
13754,1
15028,1
22719,2
10283,1
32450,5
31305,5
31400,5
34565,5
29670,5
7430,6
8059,6
15193,1
11631,1
15660,1
34844,5
36292,5
30503,5
33883,5
37308,5
3368,6
10927,1
32958,5
19615,2
11102,1
7692,6
13133,1
1804,6
21939,2
3879,6
24801,3
10228,1
32720,5
13500,1
35263,5
33631,5
33720,5
25258,3
4534,6
30299,5
3778,6
9768,1
18054,2
35307,5
26283,3
35132,5
22885,2
34126,5
3895,6
36073,5
21934,2
36009,5
8056,6
29268,5
882,6
3840,6
10204,1
6060,6
28824,5
20795,2
16505,1
35886,5
23648,4
32890,5
11812,1
13079,1
27617,3
11997,1
5855,6
31607,5
29736,5
4046,6
17915,2
11925,1
19571,2
1343,6
19814,2
24270,3
8656,6
33806,5
28326,5
31411,5
18286,2
33722,5
30861,5
28956,5
36035,5
22506,2
14282,1
28409,5
10085,1
36319,5
23666,4
27455,3
1473,6
15183,1
15643,1
26078,3
17736,2
21747,2
26231,3
9461,1
28589,5
17908,2
23065,2
37246,5
11565,1
16331,1
13763,1
15547,1
5058,6
25436,3
35570,5
15157,1
30997,5
21938,2
36870,5
18522,2
3725,6
33944,5
13999,1
9777,1
25160,3
17213,1
33821,5
17983,2
7773,6
8127,6
35756,5
37028,5
11427,1
20325,2
26560,3
17028,1
5834,6
12885,1
6673,6
18989,2
22618,2
6933,6
27129,3
21826,2
16224,1
29553,5
17381,1
34641,5
30844,5
35850,5
18346,2
18427,2
35471,5
29142,5
33347,5
32124,5
8714,6
29333,5
27311,3
13201,1
32858,5
10214,1
32307,5
24344,3
20242,2
15636,1
11988,1
7590,6
4012,6
3438,6
20612,2
18465,2
6439,6
15712,1
5288,6
20767,2
22611,2
548,6
27094,3
1127,6
3937,6
16478,1
20119,2
35683,5
26191,3
19197,2
24271,3
25854,3
29916,5
24606,3
19864,2
22779,2
19688,2
33436,5
18169,2
24076,4
17008,1
6413,6
5873,6
2508,6
33647,5
1497,6
18418,2
36244,5
6684,6
26705,3
19686,2
25345,3
35742,5
17221,1
4149,6
8453,6
15517,1
4976,6
809,6
27829,3
17999,2
36683,5
33440,5
29146,5
19647,2
34648,5
21142,2
10837,1
218,6
221,6
14634,1
22018,2
5078,6
32750,5
26652,3
25979,3
2972,6
760,6
22277,2
28969,5
7982,6
32924,5
28130,5
30413,5
13580,1
21404,2
33912,5
5861,6
3261,6
10798,1
34576,5
20335,2
3412,6
31331,5
32737,5
28315,5
11504,1
3416,6
1899,6
15245,1
22358,2
30511,5
1342,6
14333,1
35757,5
14066,1
25769,3
31583,5
5587,6
9607,1
11792,1
19060,2
20031,2
5621,6
8930,6
14251,1
33246,5
10792,1
35346,5
32997,5
29938,5
18977,2
6206,6
32609,5
29561,5
21829,2
17930,2
17812,2
22894,2
21445,2
2618,6
27826,3
27007,3
32502,5
2132,6
8553,6
24753,3
424,6
34856,5
22651,2
5575,6
7367,6
3590,6
12865,1
20983,2
7311,6
11078,1
23892,4
8509,6
35194,5
8770,6
24064,4
29246,5
37191,5
15808,1
2330,6
1884,6
5959,6
31389,5
22805,2
5360,6
9877,1
5261,6
29804,5
29532,5
13064,1
14919,1
19362,2
13115,1
35139,5
18375,2
15863,1
36491,5
11448,1
6014,6
3877,6
36679,5
7100,6
23107,2
13035,1
25098,3
7143,6
22460,2
14395,1
25201,3
1698,6
918,6
23412,4
20499,2
22524,2
28979,5
17728,2
33476,5
21241,2
2614,6
12856,1
1346,6
23439,4
4277,6
35690,5
683,6
5815,6
18524,2
33604,5
14740,1
5804,6
30039,5
2620,6
26408,3
34218,5
9526,1
20988,2
25301,3
28897,5
32981,5
17695,2
9068,6
11815,1
12207,1
4538,6
10155,1
26770,3
15722,1
30508,5
33276,5
19937,2
20953,2
34370,5
811,6
35114,5
33297,5
18260,2
3256,6
15538,1
28770,5
18843,2
20533,2
